project_id,location_name,recording_date,task_id,tag_id,ar_action,audit_date,audit_comment,source_code,target_code,created_by,deleted_by,ar_unique_name,ar_new_unique_name,audit_vocalizationd,current_tag_vocalization,audit_abundance,current_species_abundance
286,SKBMS:13-VFE04:60,2020-06-18 04:48:00,128977,,DELETE,2021-02-05 07:45:16.154,"",HETH,HETH,Chris Chutter,Janine McManus,1,,,,,
286,SKBMS:13-VFE04:60,2020-06-18 04:48:00,128977,,DELETE,2021-02-05 07:51:50.917,"",YRWA,YRWA,Chris Chutter,Janine McManus,1,,,,,
286,SKBMS:13-VFE04:64,2020-06-18 04:48:00,128992,,DELETE,2021-02-05 07:57:38.452,"",OCWA,OCWA,Chris Chutter,Janine McManus,1,,,,,
286,SKBMS:13-VFE04:64,2020-06-18 04:48:00,128992,,DELETE,2021-02-05 07:58:33.73,"",SWSP,SWSP,Chris Chutter,Janine McManus,1,,,,,
286,SKBMS:13-VFE04:64,2020-06-18 04:48:00,128992,,DELETE,2021-02-05 08:05:23.178,"",WIWA,WIWA,Chris Chutter,Janine McManus,1,,,,,
286,SKBMS:05-098:07,2020-06-15 05:14:00,130780,,DELETE,2021-02-05 08:08:22.03,"",AMRO,AMRO,Chris Chutter,Janine McManus,1,,,,,
286,SKBMS:05-098:07,2020-06-15 05:14:00,130780,,DELETE,2021-02-05 08:08:41.873,"",YRWA,YRWA,Chris Chutter,Janine McManus,1,,,,,
286,SKBMS:13-VDD27:58,2019-06-09 06:28:00,74424,,DELETE,2021-02-05 15:21:09.079,"",WWCR,WWCR,Enid,Janine McManus,1,,,,,
286,SKBMS:13-VFE04:60,2020-06-18 04:48:00,128977,,DELETE,2021-02-05 19:58:58.52,"",RESQ,RESQ,Janine McManus,Chris Chutter,1,,,,,
286,SKBMS:05-253:04,2020-06-18 06:15:00,129945,,DELETE,2021-02-07 14:15:29.086,"",UNYE,UNYE,Janine McManus,Stan Shadick,1,,,,,
286,SKBMS:05-098:08,2020-06-09 04:17:00,130827,,DELETE,2021-02-15 18:54:22.664,"",MOWI,MOWI,Chris Chutter,Laura Nicole Stewart,1,,,,,
286,SKBMS:05-098:08,2020-06-09 04:17:00,130827,,DELETE,2021-02-15 19:00:27.511,"",CHSP,CHSP,Chris Chutter,Laura Nicole Stewart,1,,,,,
286,SKBMS:05-098:08,2020-06-09 04:17:00,130827,,DELETE,2021-02-15 19:15:30.486,"",FOSP,FOSP,Chris Chutter,Laura Nicole Stewart,1,,,,,
286,SKBMS:05-098:08,2020-06-09 04:17:00,130827,,DELETE,2021-02-15 19:22:27.543,"",HEWI,HEWI,Chris Chutter,Laura Nicole Stewart,1,,,,,
286,SKBMS:05-098:08,2020-06-09 04:17:00,130827,,DELETE,2021-02-15 19:22:35.223,"",LIAI,LIAI,Chris Chutter,Laura Nicole Stewart,1,,,,,
286,SKBMS:05-098:08,2020-06-09 04:17:00,130827,,DELETE,2021-02-15 19:23:32.408,"",YRWA,YRWA,Chris Chutter,Laura Nicole Stewart,2,,,,,
286,SKBMS:05-098:08,2020-06-09 04:17:00,130827,,DELETE,2021-02-15 19:23:48.424,"",YRWA,YRWA,Chris Chutter,Laura Nicole Stewart,1,,,,,
286,SKBMS:05-098:08,2020-06-09 04:17:00,130827,,DELETE,2021-02-15 19:25:39.81,"",UNKN,UNKN,Chris Chutter,Laura Nicole Stewart,1,,,,,
286,SKBMS:13-VDF42:58,2020-06-12 02:49:02,129923,,DELETE,2021-02-15 21:35:16.118,"",DEJU,DEJU,Chris Chutter,Laura Nicole Stewart,1,,,,,
286,SKBMS:13-VDF42:58,2020-06-12 02:49:02,129923,,DELETE,2021-02-15 21:39:19.993,"",LITF,LITF,Chris Chutter,Laura Nicole Stewart,1,,,,,
286,SKBMS:13-VDF42:58,2020-06-12 02:49:02,129923,,DELETE,2021-02-15 21:39:55.275,"",HETH,HETH,Chris Chutter,Laura Nicole Stewart,1,,,,,
286,SKBMS:13-VDF42:58,2020-06-12 02:49:02,129923,,DELETE,2021-02-15 21:40:40.973,"",HETH,HETH,Chris Chutter,Laura Nicole Stewart,2,,,,,
286,SKBMS:13-VDF42:58,2020-06-12 02:49:02,129923,,DELETE,2021-02-15 21:42:47.541,"",SWTH,SWTH,Chris Chutter,Laura Nicole Stewart,1,,,,,
286,SKBMS:13-VDF42:58,2020-06-12 02:49:02,129923,,DELETE,2021-02-15 21:46:43.614,"",YBFL,YBFL,Janine McManus,Laura Nicole Stewart,1,,,,,
286,SKBMS:13-VDF42:58,2020-06-12 02:49:02,129923,,DELETE,2021-02-15 21:46:52.075,"",FOSP,FOSP,Chris Chutter,Laura Nicole Stewart,3,,,,,
286,SKBMS:13-VDF42:58,2020-06-12 02:49:02,129923,,DELETE,2021-02-15 21:46:58.239,"",FOSP,FOSP,Chris Chutter,Laura Nicole Stewart,1,,,,,
286,SKBMS:13-VDF42:58,2020-06-12 02:49:02,129923,,DELETE,2021-02-15 21:47:04.898,"",FOSP,FOSP,Chris Chutter,Laura Nicole Stewart,2,,,,,
286,SKBMS:13-VEE46:63,2018-06-20 03:30:00,81422,,DELETE,2021-02-15 21:48:52.647,"",HETH,HETH,Steve Van Wilgenburg,Laura Nicole Stewart,1,,,,,
286,SKBMS:13-VEE46:63,2018-06-20 03:30:00,81422,,DELETE,2021-02-15 21:48:59.571,"",HETH,HETH,Steve Van Wilgenburg,Laura Nicole Stewart,2,,,,,
286,SKBMS:13-VEE46:63,2018-06-20 03:30:00,81422,,DELETE,2021-02-15 21:49:04.507,"",DEJU,DEJU,Steve Van Wilgenburg,Laura Nicole Stewart,1,,,,,
286,SKBMS:13-VEE46:63,2018-06-20 03:30:00,81422,,DELETE,2021-02-15 21:53:30.203,"",YRWA,YRWA,Steve Van Wilgenburg,Laura Nicole Stewart,1,,,,,
286,SKBMS:13-VEE46:63,2018-06-20 03:30:00,81422,,DELETE,2021-02-15 21:55:39.631,"",CHSP,CHSP,Steve Van Wilgenburg,Laura Nicole Stewart,1,,,,,
286,SKBMS:13-VEE46:63,2018-06-20 03:30:00,81422,,DELETE,2021-02-15 21:56:03.975,"",WWCR,WWCR,Steve Van Wilgenburg,Laura Nicole Stewart,1,,,,,
286,SKBMS:13-VEE46:63,2018-06-20 03:30:00,81422,,DELETE,2021-02-15 22:07:39.577,"",AMRO,AMRO,Steve Van Wilgenburg,Laura Nicole Stewart,1,,,,,
286,SKBMS:06-1003:07,2017-06-13 04:09:00,86511,,DELETE,2021-02-16 03:19:58.632,"",SORA,SORA,Laura Nicole Stewart,Avery Bartels,1,,,,,
286,SKBMS:06-1003:07,2017-06-13 04:09:00,86511,,DELETE,2021-02-16 03:20:03.402,"",LEFL,LEFL,Laura Nicole Stewart,Avery Bartels,1,,,,,
286,SKBMS:06-1003:07,2017-06-13 04:09:00,86511,,DELETE,2021-02-16 03:20:24.56,"",WTSP,WTSP,Laura Nicole Stewart,Avery Bartels,1,,,,,
286,SKBMS:06-1003:07,2017-06-13 04:09:00,86511,,DELETE,2021-02-16 03:20:39.563,"",WTSP,WTSP,Laura Nicole Stewart,Avery Bartels,3,,,,,
286,SKBMS:06-1003:07,2017-06-13 04:09:00,86511,,DELETE,2021-02-16 03:21:08.504,"",SWSP,SWSP,Laura Nicole Stewart,Avery Bartels,1,,,,,
286,SKBMS:06-1003:07,2017-06-13 04:09:00,86511,,DELETE,2021-02-16 03:21:18.21,"",CANG,CANG,Laura Nicole Stewart,Avery Bartels,1,,,,,
286,SKBMS:06-1003:07,2017-06-13 04:09:00,86511,,DELETE,2021-02-16 03:24:11.972,"",COYE,COYE,Laura Nicole Stewart,Avery Bartels,1,,,,,
286,SKBMS:06-1003:07,2017-06-13 04:09:00,86511,,DELETE,2021-02-16 03:24:20.169,"",RWBL,RWBL,Laura Nicole Stewart,Avery Bartels,1,,,,,
286,SKBMS:06-1003:07,2017-06-13 04:09:00,86511,,DELETE,2021-02-16 03:24:33.133,"",RWBL,RWBL,Laura Nicole Stewart,Avery Bartels,2,,,,,
286,SKBMS:06-1003:07,2017-06-13 04:09:00,86511,,DELETE,2021-02-16 03:24:49.406,"",SOSP,SOSP,Laura Nicole Stewart,Avery Bartels,1,,,,,
286,SKBMS:06-1003:07,2017-06-13 04:09:00,86511,,DELETE,2021-02-16 03:26:47.142,"",WTSP,WTSP,Laura Nicole Stewart,Avery Bartels,0,,,,,
286,SKBMS:06-1003:07,2017-06-13 04:09:00,86511,,DELETE,2021-02-16 03:27:41.693,"",MODO,MODO,Laura Nicole Stewart,Avery Bartels,1,,,,,
286,SKBMS:06-1003:07,2017-06-13 04:09:00,86511,,DELETE,2021-02-16 03:28:11.92,"",RBGR,RBGR,Laura Nicole Stewart,Avery Bartels,1,,,,,
286,SKBMS:06-1003:07,2017-06-13 04:09:00,86511,,DELETE,2021-02-16 03:35:05.671,"",SEWR,SEWR,Laura Nicole Stewart,Avery Bartels,1,,,,,
286,SKBMS:06-1003:07,2017-06-13 04:09:00,86511,,DELETE,2021-02-16 03:35:35.797,"",RCKI,RCKI,Laura Nicole Stewart,Avery Bartels,1,,,,,
286,SKBMS:06-1003:07,2017-06-13 04:09:00,86511,,DELETE,2021-02-16 03:35:51.963,"",REVI,REVI,Laura Nicole Stewart,Avery Bartels,1,,,,,
286,SKBMS:06-1003:07,2017-06-13 04:09:00,86511,,DELETE,2021-02-16 03:36:27.142,"",WTSP,WTSP,Laura Nicole Stewart,Avery Bartels,2,,,,,
286,SKBMS:06-048:06,2017-06-13 05:31:00,86350,,DELETE,2021-02-16 03:48:37.081,"",CHSP,CHSP,Laura Nicole Stewart,Avery Bartels,1,,,,,
286,SKBMS:06-048:06,2017-06-13 05:31:00,86350,,DELETE,2021-02-16 03:48:41.547,"",HETH,HETH,Laura Nicole Stewart,Avery Bartels,1,,,,,
286,SKBMS:06-048:06,2017-06-13 05:31:00,86350,,DELETE,2021-02-16 03:48:47.279,"",SACR,SACR,Laura Nicole Stewart,Avery Bartels,1,,,,,
