ID1,species_common_name,SAR_prairies,np_tone,np_pattern,np_combined,mass,logmass,MaxFreqkHz_lhreg,n_tags_maxfreq_WT,maxfreqkHz,rarity
PHVI,Philadelphia Vireo,No,whistle,phrase,whistle_phrase,11.5,2.442347035,7,129,5.209457364,0.002997003
PIGR,Pine Grosbeak,No,whistle,phrase,whistle_phrase,56.4,4.032469159,4.5,6,5.7,8.63E-05
PISI,Pine Siskin,No,buzzy,warble,buzzy_warble,12.7,2.541601993,8,269,7.148698885,0.006610673
PIWA,Pine Warbler,No,click,trill,click_trill,11.79,2.467251715,5.7,NA,5.7,3.70E-05
PIWO,Pileated Woodpecker,No,click,trill,click_trill,286.59,5.658052623,6,133,2.62887218,0.002701003
PUFI,Purple Finch,No,whistle,warble,whistle_warble,23.3,3.148453361,6,45,5.169333333,0.001011334
RBGR,Rose-breasted Grosbeak,No,whistle,warble,whistle_warble,42,3.737669618,9,356,4.261488764,0.008263342
RBGU,Ring-billed Gull,No,NA,NA,Call,NA,NA,NA,11,3.243636364,3.21E-04
RBME,Red-breasted Merganser,No,NA,NA,Call,NA,NA,NA,3,1.883333333,7.40E-05
RBNU,Red-breasted Nuthatch,No,NA,NA,Call,9.8,2.282382386,8,269,4.063457249,0.007017674
RCKI,Ruby-crowned Kinglet,No,whistle,warble,whistle_warble,6.19,1.822935087,7,1227,5.296650367,0.029230029
RECR,Red Crossbill,No,buzzy,phrase,buzzy_phrase,38.29,3.645188765,6,7,5.255714286,3.70E-04
REDH,Redhead,No,NA,NA,Call,NA,NA,NA,1,3.18,1.23E-05
RESQ,Red Squirrel,No,NA,NA,Call,NA,NA,NA,1033,8.128441433,0.021793022
REVI,Red-eyed Vireo,No,whistle,phrase,whistle_phrase,16.06,2.776331709,6,2118,4.890542965,0.031302031
RNDU,Ring-necked Duck,No,NA,NA,Call,NA,NA,NA,7,4.661428571,1.73E-04
RNGR,Red-necked Grebe,No,hoot,phrase,hoot_phrase,NA,NA,NA,65,2.642,0.001233335
RTHA,Red-tailed Hawk,No,NA,NA,Call,NA,NA,NA,2,3.15,4.93E-05
RTHU,Ruby-throated Hummingbird,No,buzzy,phrase,buzzy_phrase,3.09,1.128171091,6,17,5.655882353,1.60E-04
RUBL,Rusty Blackbird,Yes,polynoise,phrase,polynoise_phrase,59.57,4.087152092,9.5,57,5.884561404,0.001282668
RUDU,Ruddy Duck,No,NA,NA,Call,NA,NA,NA,1,4.11,1.23E-05
RUGR,Ruffed Grouse,No,hoot,trill,hoot_trill,530.91,6.274592515,4,422,1.156516588,0.007449341
