spp,scientific_name,common_name,WJSpecID,Scientific,Scientific2,logphi,logtau,logphiSE,logtauSE,mass,logmass,MaxFreqkHz,Migr,Nesthm,habitat,food,behavior,Mig,Mig2,Hab2,Hab3,Hab4,xMaxFreqkHz
MOBL,Sialia currucoides,Mountain Bluebird,8873,Sialia currucoides,Sialia currucoides,-1.508690789,-1.130656887,0.298137969,0.070196221,29.6,3.387774361,3,Short distance migrant,8,Open Woodland,Insects,Flycatching,SD,M,Closed,Wood,Wood,0.3
MODO,Zenaida macroura,Mourning Dove,3439,Zenaida macroura,Zenaida macroura,-1.452843869,0.065624717,0.049395559,0.006080891,118.93,4.778535085,0.47,Short distance migrant,2,Open Woodland,Seeds,Ground Forager,SD,M,Closed,Wood,Wood,0.047
MOWA,Geothlypis philadelphia,Mourning Warbler,12730,Oporornis philadelphia,Oporornis philadelphia,-1.204217784,-0.400601571,0.016461136,0.004700128,11.74,2.463001814,5.458,Neotropical migrant,0,Forest,Insects,Foliage Gleaner,LD,M,Closed,For,For,0.5458
NAWA,Oreothlypis ruficapilla,Nashville Warbler,12672,Vermivora ruficapilla,Vermivora ruficapilla,-1.09498446,-0.23231117,0.008429576,0.00363981,8.09,2.090628731,9.25,Neotropical migrant,0,Forest,Insects,Foliage Gleaner,LD,M,Closed,For,For,0.925
NESP,Ammodramus nelsoni,Nelson's Sparrow,12544,Ammodramus nelsoni,Ammodramus nelsoni,-1.347601976,-0.130605501,0.162688831,0.100308361,15.11,2.715356776,7.3,Neotropical migrant,0,Marsh,Insects,Ground Forager,LD,M,Open,Open,Wet,0.73
NOFL,Colaptes auratus,Northern Flicker,1001,Colaptes auratus,Colaptes auratus,-2.106080986,0.078974236,0.051948326,0.00783522,131.46,4.878702623,3.35,Short distance migrant,7,Open Woodland,Insects,Ground Forager,SD,M,Closed,Wood,Wood,0.335
NOPA,Setophaga americana,Northern Parula,12678,Parula americana,Parula americana,-1.442662771,-0.280485861,0.02938099,0.012161901,7.84,2.059238834,8,Neotropical migrant,9,Forest,Insects,Foliage Gleaner,LD,M,Closed,For,For,0.8
NOWA,Parkesia noveboracensis,Northern Waterthrush,12725,Seiurus noveboracensis,Seiurus noveboracensis,-1.37952096,-0.067114484,0.029052486,0.008761093,16.3,2.791165108,9,Neotropical migrant,0,Forest,Insects,Ground Forager,LD,M,Closed,For,For,0.9
OCWA,Oreothlypis celata,Orange-crowned Warbler,12671,Vermivora celata,Vermivora celata,-1.58577627,-0.461370462,0.034556152,0.010691092,9.19,2.218115936,8.5,Short distance migrant,0,Forest,Insects,Foliage Gleaner,SD,M,Closed,For,For,0.85
OSFL,Contopus cooperi,Olive-sided Flycatcher,6019,Contopus cooperi,Contopus cooperi,-1.270644509,0.032459588,0.042237938,0.014513384,32.1,3.46885603,3.8,Neotropical migrant,8,Open Woodland,Insects,Flycatching,LD,M,Closed,Wood,Wood,0.38
OVEN,Seiurus aurocapilla,Ovenbird,12724,Seiurus aurocapilla,Seiurus aurocapilla,-0.949371889,-0.129133287,0.004670229,0.00205068,18.8,2.93385687,8,Neotropical migrant,0,Forest,Insects,Ground Forager,LD,M,Closed,For,For,0.8
PAWA,Setophaga palmarum,Palm Warbler,12711,Dendroica palmarum,Dendroica palmarum,-1.090720974,-0.502404539,0.021490893,0.009184116,10.3,2.332143895,8,Neotropical migrant,0,Open Woodland,Insects,Ground Forager,LD,M,Closed,Wood,Wood,0.8
PHVI,Vireo philadelphicus,Philadelphia Vireo,7790,Vireo philadelphicus,Vireo philadelphicus,-1.058239942,-0.524662501,0.0522704,0.010482324,11.5,2.442347035,7,Neotropical migrant,9,Forest,Insects,Foliage Gleaner,LD,M,Closed,For,For,0.7
PIGR,Pinicola enucleator,Pine Grosbeak,12387,Pinicola enucleator,Pinicola enucleator,-2.312347904,-0.262466837,0.30504884,0.03364047,56.4,4.032469159,4.5,Nomadic,4,Open Woodland,Seeds,Foliage Gleaner,WR,W,Closed,Wood,Wood,0.45
PISI,Spinus pinus,Pine Siskin,12318,Carduelis pinus,Carduelis pinus,-1.750004081,-0.686166229,0.034574069,0.008290088,12.7,2.541601993,8,Short distance migrant,5,Open Woodland,Seeds,Foliage Gleaner,SD,M,Closed,Wood,Wood,0.8
PIWA,Setophaga pinus,Pine Warbler,12706,Dendroica pinus,Dendroica pinus,-1.43297262,-0.116862393,0.031571698,0.012297711,11.79,2.467251715,5.7,Short distance migrant,12,Forest,Insects,Bark Forager,SD,M,Closed,For,For,0.57
PIWO,Dryocopus pileatus,Pileated Woodpecker,1021,Dryocopus pileatus,Dryocopus pileatus,-2.102183403,0.319157378,0.062835732,0.014087007,286.59,5.658052623,6,Resident,10,Forest,Insects,Bark Forager,WR,W,Closed,For,For,0.6
PUFI,Carpodacus purpureus,Purple Finch,12367,Carpodacus purpureus,Carpodacus purpureus,-2.203429048,-0.291925108,0.100517947,0.012708296,23.3,3.148453361,6,Short distance migrant,4,Forest,Seeds,Foliage Gleaner,SD,M,Closed,For,For,0.6
RBGR,Pheucticus ludovicianus,Rose-breasted Grosbeak,13275,Pheucticus ludovicianus,Pheucticus ludovicianus,-1.364361975,-0.109249018,0.015770694,0.004973807,42,3.737669618,9,Neotropical migrant,3,Forest,Insects,Foliage Gleaner,LD,M,Closed,For,For,0.9
RBNU,Sitta canadensis,Red-breasted Nuthatch,9634,Sitta canadensis,Sitta canadensis,-1.832802792,-0.236530142,0.025811776,0.004977805,9.8,2.282382386,8,Resident,6,Forest,Insects,Bark Forager,WR,W,Closed,For,For,0.8
RCKI,Regulus calendula,Ruby-crowned Kinglet,10158,Regulus calendula,Regulus calendula,-1.251039314,-0.244370279,0.012675026,0.004092372,6.19,1.822935087,7,Short distance migrant,5,Forest,Insects,Foliage Gleaner,SD,M,Closed,For,For,0.7
RECR,Loxia curvirostra,Red Crossbill,12392,Loxia curvirostra,Loxia curvirostra,-1.344994769,-0.529058754,0.103671984,0.031789759,38.29,3.645188765,6,Nomadic,8,Forest,Seeds,Foliage Gleaner,WR,W,Closed,For,For,0.6
REVI,Vireo olivaceus,Red-eyed Vireo,7791,Vireo olivaceus,Vireo olivaceus,-0.976260368,-0.155054089,0.005617975,0.002254994,16.06,2.776331709,6,Neotropical migrant,2,Forest,Insects,Foliage Gleaner,LD,M,Closed,For,For,0.6
ROSA,Calidris ptilocnemis,Rock Sandpiper,4134,Calidris ptilocnemis,Calidris ptilocnemis,-1.456999865,0.311292355,0.17168101,0.0681308,81.32,4.398391989,7,Short distance migrant,0,Shore-line,Insects,Probing,SD,M,Open,Open,Wet,0.7
RTHU,Archilochus colubris,Ruby-throated Hummingbird,2791,Archilochus colubris,Archilochus colubris,-2.821621193,-0.765056804,0.362803676,0.03212855,3.09,1.128171091,6,Neotropical migrant,4,Open Woodland,Nectar,Hovering,LD,M,Closed,Wood,Wood,0.6
RUBL,Euphagus carolinus,Rusty Blackbird,13442,Euphagus carolinus,Euphagus carolinus,-1.852253477,-0.181267753,0.117174161,0.026756993,59.57,4.087152092,9.5,Short distance migrant,1,Forest,Insects,Ground Forager,SD,M,Closed,For,For,0.95
RUGR,Bonasa umbellus,Ruffed Grouse,434,Bonasa umbellus,Bonasa umbellus,-1.294566321,-0.009848058,0.030679081,0.010028092,530.91,6.274592515,4,Resident,0,Forest,Omnivore,Foliage Gleaner,WR,W,Closed,For,For,0.4
RWBL,Agelaius phoeniceus,Red-winged Blackbird,13402,Agelaius phoeniceus,Agelaius phoeniceus,-0.930613389,-0.020314839,0.015553387,0.003092277,50.78,3.927502576,6,Short distance migrant,1,Marsh,Insects,Ground Forager,SD,M,Open,Open,Wet,0.6
SAVS,Passerculus sandwichensis,Savannah Sparrow,12534,Passerculus sandwichensis,Passerculus sandwichensis,-0.762454118,-0.090690812,0.012978126,0.005857882,19.97,2.994231147,10,Short distance migrant,0,Grassland,Insects,Ground Forager,SD,M,Open,Open,Open,1
SCTA,Piranga olivacea,Scarlet Tanager,12915,Piranga olivacea,Piranga olivacea,-1.647943789,0.027812669,0.034476439,0.013247178,28.2,3.339321978,5,Neotropical migrant,6,Forest,Insects,Foliage Gleaner,LD,M,Closed,For,For,0.5
SEWR,Cistothorus platensis,Sedge Wren,9703,Cistothorus platensis,Cistothorus platensis,-1.252518305,-0.032475093,0.084540634,0.043411929,9.04,2.201659174,7.8,Short distance migrant,0,Marsh,Insects,Ground Forager,SD,M,Open,Open,Wet,0.78
SOSA,Tringa solitaria,Solitary Sandpiper,4098,Tringa solitaria,Tringa solitaria,-2.308817225,-0.185168225,0.168822255,0.029070619,48.4,3.879499814,5.8,Neotropical migrant,7,Marsh,Insects,Probing,LD,M,Open,Open,Wet,0.58
